CMDLINE /home/satwik/anaconda3/bin/python particleSimulator.py
MEM 1.351562 1677392934.3525
MEM 13.945312 1677392934.4529
MEM 20.488281 1677392934.5543
MEM 27.539062 1677392934.6547
MEM 34.988281 1677392934.7551
MEM 43.878906 1677392934.8554
MEM 71.085938 1677392934.9558
MEM 80.886719 1677392935.0562
MEM 81.894531 1677392935.1565
MEM 84.210938 1677392935.2569
MEM 86.960938 1677392935.3572
MEM 89.878906 1677392935.4576
MEM 90.906250 1677392935.5579
MEM 91.421875 1677392935.6584
MEM 96.648438 1677392935.7588
MEM 118.906250 1677392935.8593
MEM 132.558594 1677392935.9597
MEM 136.191406 1677392936.0601
MEM 140.027344 1677392936.1606
MEM 140.027344 1677392936.2612
MEM 140.027344 1677392936.3617
MEM 140.027344 1677392936.4625
MEM 140.027344 1677392936.5630
MEM 140.027344 1677392936.6635
MEM 140.027344 1677392936.7644
MEM 140.027344 1677392936.8655
MEM 140.027344 1677392936.9661
MEM 140.027344 1677392937.0670
MEM 140.027344 1677392937.1674
MEM 140.027344 1677392937.2680
MEM 140.027344 1677392937.3685
MEM 140.027344 1677392937.4689
MEM 140.027344 1677392937.5698
MEM 140.027344 1677392937.6702
MEM 140.027344 1677392937.7706
MEM 140.027344 1677392937.8711
MEM 140.027344 1677392937.9716
MEM 140.027344 1677392938.0721
MEM 140.027344 1677392938.1726
MEM 140.027344 1677392938.2736
MEM 140.027344 1677392938.3742
MEM 140.027344 1677392938.4747
MEM 140.027344 1677392938.5751
MEM 140.027344 1677392938.6757
MEM 140.027344 1677392938.7762
MEM 140.027344 1677392938.8768
MEM 140.027344 1677392938.9774
MEM 140.027344 1677392939.0778
MEM 140.027344 1677392939.1782
MEM 140.027344 1677392939.2788
MEM 140.027344 1677392939.3794
MEM 140.027344 1677392939.4799
MEM 140.027344 1677392939.5805
MEM 140.027344 1677392939.6810
MEM 140.027344 1677392939.7814
MEM 140.027344 1677392939.8819
MEM 140.027344 1677392939.9823
MEM 140.027344 1677392940.0830
MEM 140.027344 1677392940.1837
MEM 140.027344 1677392940.2842
MEM 140.027344 1677392940.3847
MEM 140.027344 1677392940.4853
MEM 140.027344 1677392940.5872
MEM 140.027344 1677392940.6884
MEM 140.027344 1677392940.7895
MEM 140.027344 1677392940.8903
MEM 140.027344 1677392940.9932
MEM 140.027344 1677392941.0936
MEM 140.027344 1677392941.1944
MEM 140.027344 1677392941.2949
MEM 140.027344 1677392941.3953
MEM 140.027344 1677392941.4961
MEM 140.027344 1677392941.5976
MEM 140.027344 1677392941.6980
MEM 140.027344 1677392941.7984
MEM 140.027344 1677392941.8992
MEM 140.027344 1677392942.0007
MEM 140.027344 1677392942.1013
MEM 140.027344 1677392942.2019
MEM 140.027344 1677392942.3023
MEM 140.027344 1677392942.4029
MEM 140.273438 1677392942.5038
MEM 140.273438 1677392942.6044
MEM 140.273438 1677392942.7050
MEM 140.273438 1677392942.8055
MEM 140.273438 1677392942.9060
MEM 140.273438 1677392943.0065
MEM 140.273438 1677392943.1071
MEM 140.273438 1677392943.2077
MEM 140.273438 1677392943.3084
MEM 140.273438 1677392943.4099
MEM 140.273438 1677392943.5105
MEM 140.273438 1677392943.6116
MEM 140.273438 1677392943.7122
MEM 140.273438 1677392943.8129
MEM 140.273438 1677392943.9133
MEM 140.273438 1677392944.0142
MEM 140.273438 1677392944.1146
MEM 140.273438 1677392944.2152
MEM 140.273438 1677392944.3174
MEM 140.273438 1677392944.4180
MEM 140.273438 1677392944.5186
MEM 140.273438 1677392944.6191
MEM 140.273438 1677392944.7196
MEM 140.273438 1677392944.8200
MEM 140.273438 1677392944.9208
MEM 140.273438 1677392945.0212
MEM 140.273438 1677392945.1221
MEM 140.273438 1677392945.2226
MEM 140.273438 1677392945.3230
MEM 140.273438 1677392945.4236
MEM 140.273438 1677392945.5242
MEM 140.273438 1677392945.6253
MEM 140.273438 1677392945.7258
MEM 140.273438 1677392945.8265
MEM 140.273438 1677392945.9271
MEM 139.285156 1677392946.0277
MEM 139.285156 1677392946.1283
MEM 139.285156 1677392946.2289
